"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-03-07",515151,842,45475,8134,726,40199,776361,74582825,131835,4281,2802,28756489,41835,56,363825123,1170059
"2021-03-06",514309,1680,45453,8409,503,41401,775635,74450990,143835,4280,2811,28714654,60015,56,362655064,1430992
"2021-03-05",512629,2221,45373,8634,2781,42541,775132,74307155,271917,4275,2889,28654639,68787,56,361224072,1744417
"2021-03-04",510408,1743,45293,8970,1530,44172,772351,74035238,177957,4267,2973,28585852,65487,56,359479655,1590984
"2021-03-03",508665,2449,45214,9359,2172,45462,770821,73857281,267001,4260,3094,28520365,66836,56,357888671,1406795
"2021-03-02",506216,1728,45084,9465,1871,46388,768649,73590280,255779,4257,3169,28453529,54248,56,356481876,1343519
"2021-03-01",504488,1241,44956,9595,1024,46738,766778,73334501,118077,4252,3171,28399281,48092,56,355138357,1154440
"2021-02-28",503247,1051,44907,9802,879,47352,765754,73216424,203599,4252,3245,28351189,54349,56,353983917,1408422
"2021-02-27",502196,1847,44875,10114,1428,48871,764875,73012825,205090,4252,3335,28296840,71245,56,352575495,1655179
"2021-02-26",500349,2141,44791,10466,1868,51112,763447,72807735,276829,4247,3466,28225595,74857,56,350920316,1803309
"2021-02-25",498208,3138,44636,10846,2047,52669,761579,72530906,272209,4240,3567,28150738,75565,56,349117007,1826144
"2021-02-24",495070,2447,44534,11026,2172,54118,759532,72258697,245318,4227,3685,28075173,73258,56,347290863,1450666
"2021-02-23",492623,2241,44420,11272,2164,55058,757360,72013379,225267,4214,3755,28001915,69105,56,345840197,1193835
"2021-02-22",490382,1235,44266,11536,1305,55403,755196,71788112,123611,4200,3804,27932810,52530,56,344646362,1201247
"2021-02-21",489147,1287,44216,11862,997,56159,753891,71664501,156778,4197,3915,27880280,58702,56,343445115,1232995
"2021-02-20",487860,2160,44166,12120,1732,58222,752894,71507723,141790,4197,3932,27821578,72354,56,342212120,1290481
"2021-02-19",485700,2477,44085,12491,2674,59882,751162,71365933,224755,4187,4118,27749224,74676,56,340921639,1878033
"2021-02-18",483223,2616,43964,13036,2497,62224,748488,71141178,218491,4178,4180,27674548,66824,56,339043606,1345849
"2021-02-17",480607,2348,43823,13094,2857,63329,745991,70922687,233666,4154,4271,27607724,66839,56,337697757,1298421
"2021-02-16",478259,1353,43673,13607,2094,64457,743134,70689021,101102,4149,4415,27540885,56312,56,336399336,1053698
"2021-02-15",476906,1078,43553,13790,1130,65379,741040,70587919,143388,4143,4468,27484573,55077,56,335345638,1123560
"2021-02-14",475828,1366,43516,14038,1236,66947,739910,70444531,171877,4141,4542,27429496,72164,56,334222078,1439631
"2021-02-13",474462,3467,43463,14387,1805,69207,738674,70272654,234293,4140,4648,27357332,90642,56,332782447,1757608
"2021-02-12",470995,5427,43389,14766,2347,71471,736869,70038361,255983,4126,4849,27266690,101030,56,331024839,1812454
"2021-02-11",465568,3873,43291,15181,2460,74208,734522,69782378,260124,4113,4970,27165660,102417,56,329212385,1855929
"2021-02-10",461695,3445,43184,15788,3226,76979,732062,69522254,155861,4106,5121,27063243,95194,56,327356456,1382709
"2021-02-09",458250,2795,43000,16129,3144,79179,728836,69366393,337168,4092,5216,26968049,92986,56,325973747,1488481
"2021-02-08",455455,1309,42833,16174,1638,80055,725692,69029225,142156,4080,5260,26875063,77737,56,324485266,1400009
"2021-02-07",454146,1475,42779,16616,1543,81439,724054,68887069,208303,4079,5342,26797326,95994,56,323085257,1498808
"2021-02-06",452671,2994,42730,17093,2443,84233,722511,68678766,282477,4078,5475,26701332,114557,56,321586449,1888854
"2021-02-05",449677,3543,42626,17284,2940,86373,720068,68396289,270754,4060,5596,26586775,131146,56,319697595,1868496
"2021-02-04",446134,5212,42472,17918,3402,88668,717128,68125535,217496,4059,5732,26455629,123907,56,317829099,1663995
"2021-02-03",440922,3685,42323,18147,3975,91440,713726,67908039,224499,4044,5920,26331722,116960,56,316165104,1384881
"2021-02-02",437237,3486,42148,18388,3285,92880,709751,67683540,167082,4035,6047,26214762,117616,56,314780223,1385595
