"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-03-07","IN",12737,12310,11,427,43217,43217,656,64,7600,104,2483156,4643,,,,,50,667262,,746,0,,,,,760491,,,0,8242367,29427,,,,,3150418,5389,8242367,29427
"2021-03-06","IN",12726,12299,29,427,43153,43153,663,49,7586,118,2478513,5155,,,,,60,666516,,1231,0,,,,,759598,,,0,8212940,41718,,,,,3145029,6386,8212940,41718
"2021-03-05","IN",12697,12263,34,434,43104,43104,730,60,7588,123,2473358,4481,,,,,64,665285,,839,0,,,,,758078,,,0,8171222,37626,,,,,3138643,5320,8171222,37626
"2021-03-04","IN",12663,12231,30,432,43044,43044,692,89,7567,131,2468877,4795,,,,,63,664446,,935,0,,,,,757099,,,0,8133596,40539,,,,,3133323,5730,8133596,40539
"2021-03-03","IN",12633,12200,10,433,42955,42955,731,93,7555,131,2464082,3803,,,,,65,663511,,761,0,,,,,756009,,,0,8093057,36945,,,,,3127593,4564,8093057,36945
"2021-03-02","IN",12623,12192,28,431,42862,42862,765,47,7535,123,2460279,2297,,,,,64,662750,,537,0,,,,,755102,,,0,8056112,20386,,,,,3123029,2834,8056112,20386
"2021-03-01","IN",12595,12162,22,433,42815,42815,763,40,7514,124,2457982,2454,,,,,66,662213,,540,0,,,,,754471,,,0,8035726,14296,,,,,3120195,2994,8035726,14296
"2021-02-28","IN",12573,12142,17,431,42775,42775,778,39,7508,116,2455528,4296,,,,,67,661673,,731,0,,,,,753811,,,0,8021430,31476,,,,,3117201,5027,8021430,31476
"2021-02-27","IN",12556,12125,25,431,42736,42736,800,28,7497,138,2451232,4877,,,,,73,660942,,871,0,,,,,752905,,,0,7989954,47002,,,,,3112174,5748,7989954,47002
"2021-02-26","IN",12531,12098,37,433,42708,42708,781,36,7490,151,2446355,5371,,,,,79,660071,,944,0,,,,,751829,,,0,7942952,40443,,,,,3106426,6315,7942952,40443
