dateCollected,cdcLabs,usPubHealthLabs,dailyTotal,lag
1/18,4,0,4,0
1/19,0,0,0,0
1/20,7,0,7,0
1/21,3,0,3,0
1/22,10,0,10,0
1/23,36,0,36,0
1/24,53,0,53,0
1/25,101,0,101,0
1/26,79,0,79,0
1/27,77,0,77,0
1/28,65,0,65,0
1/29,102,0,102,0
1/30,256,0,256,0
1/31,63,0,63,0
2/1,310,0,310,0
2/2,33,0,33,0
2/3,131,1,132,0
2/4,93,0,93,0
2/5,104,3,107,0
2/6,74,2,76,0
2/7,93,0,93,0
2/8,79,0,79,0
2/9,36,2,38,0
2/10,37,1,38,0
2/11,95,2,97,0
2/12,56,2,58,0
2/13,47,1,48,0
2/14,36,5,41,0
2/15,51,4,55,0
2/16,24,1,25,0
2/17,7,28,35,0
2/18,32,10,42,0
2/19,63,6,69,0
2/20,55,4,59,0
2/21,249,3,252,0
2/22,254,3,257,0
2/23,67,2,69,0
2/24,50,19,69,0
2/25,50,13,63,0
2/26,80,27,107,0
2/27,62,138,200,0
2/28,86,177,263,0
2/29,80,284,364,0
3/1,31,259,290,0
3/2,94,558,652,0
3/3,73,792,865,0
3/4,111,1121,1232,0
3/5,86,1654,1740,0
3/6,5,1906,1911,0
3/7,179,1453,1632,0
3/8,82,1579,1661,0
03/09,36,3127,3163,0
3/10,172,3334,3506,0
3/11,143,4111,4254,0
3/12,201,5860,6061,0
3/13,29,6526,6555,0
3/14,20,5799,5819,0
3/15,1,5585,5586,0
3/16,3,10268,10271,0
3/17,15,10578,10593,0
3/18,21,9823,9844,0
3/19,15,9250,9265,0
3/20,11,8722,8733,0
3/21,32,5110,5142,0
3/22,1,4455,4456,1
3/23,2,7974,7976,1
3/24,1,7448,7449,1
3/25,29,6386,6415,1
3/26,42,3480,3522,1
3/27,23,744,767,1
3/28,9,44,53,1
3/29,,1,1,1
